id,category,text,weightA,weightB,weightC,weightD
96,Creativity,I enjoy expressing myself creatively and visually.,1,1,1,3
97,Work Style,I enjoy working with numbers, facts, and statistics.,3,1,1,1
98,Problem Solving,I like to plan tasks step by step.,1,3,1,1
99,Communication,I enjoy helping and supporting other people.,1,1,3,1
100,Learning,I enjoy brainstorming new and unconventional ideas.,1,1,1,3
101,Decision Making,I like to analyze problems logically before acting.,3,1,1,1
102,Creativity,I keep my work organized and follow a schedule.,1,3,1,1
103,Work Style,I am sensitive to the feelings of those around me.,1,1,3,1
104,Problem Solving,I like to imagine future possibilities and the big picture.,1,1,1,3
105,Communication,I am comfortable making decisions based on data.,3,1,1,1
106,Learning,I prefer clear procedures and detailed instructions.,1,3,1,1
107,Decision Making,I prefer collaborating in a team over working alone.,1,1,3,1
108,Creativity,I am comfortable taking risks to try something novel.,1,1,1,3
109,Work Style,I prefer arguments backed by evidence and reasoning.,3,1,1,1
110,Problem Solving,I complete one task fully before starting another.,1,3,1,1
111,Communication,I build relationships easily and value harmony.,1,1,3,1
112,Learning,I see connections between seemingly unrelated things.,1,1,1,3
113,Decision Making,I find financial and technical details engaging.,3,1,1,1
114,Creativity,I value reliability, structure, and predictability.,1,3,1,1
115,Work Style,I listen carefully to understand others' viewpoints.,1,1,3,1
116,Problem Solving,I prefer open-ended problems with room to experiment.,1,1,1,3
